Player,Prop Type,Prop Value,Start Time,RF_Prediction,RF_Confidence,Model_Type,LLM_Prediction,LLM_RF_Agreement,LLM_Confidence,LLM_Justification,Actual_Stat,Actual_Result,Reflection
geraldo perdomo,Hits+Runs+RBIs,1.5,Fri 9:40 PM,1,0.92,hitter,Over,True,Medium,"Geraldo Perdomo has a significantly higher wOBA (0.398) and OPS (0.924) against LHP compared to league averages, and he is facing a pitcher with a 16.8% K% rate vs LHB. Additionally, the park factor for home runs at Chase Field is 91.0, providing some advantage for hitters. However, the model's prediction has only a medium level of confidence given the small sample size and lack of information about the opposing pitcher.",0.0,Under,
wyatt langford,Hitter Fantasy Score,6.5,Fri 8:05 PM,1,0.88,hitter,Over,True,Medium,"Wyatt Langford has a higher wOBA (0.365) and xwOBA (0.354) against left-handed pitchers compared to right-handed pitchers, which aligns with his upcoming matchup. Despite the opposing pitcher's strong numbers, Langford's high barrel% (13.8%) and hard hit % (50.3%) suggest he could drive the ball effectively. However, the model's low confidence stems from its early development stage and sparse training data.",27.0,Over,
lourdes gurriel,Hitter Fantasy Score,5.0,Fri 9:40 PM,1,0.83,hitter,Over,True,Medium,"Player has a strong wOBA (0.331) vs LHP and the opposing pitcher's K/BB% is low at 1.81, suggesting control issues that could result in walks or hits for Gurriel. The park factor for home runs (91.0) also leans slightly favorable for Gurriel to reach a hitter fantasy score over 5.0.",0.0,Under,
marcus semien,Hits+Runs+RBIs,1.5,Fri 8:05 PM,1,0.81,hitter,Over,True,Medium,"Semien has a solid OBP vs RHP (0.339) and his recent form vs RHP is impressive with an AVG of 0.341 over the last 15 games. However, the model's prediction may be skewed by the small sample size against LHP this season.",2.0,Over,
marcus semien,Hitter Fantasy Score,5.5,Fri 8:05 PM,1,0.8,hitter,Over,True,Medium,"Marcus Semien's recent form (0.341 AVG in last 15 games vs RHP) and park factor for home runs (HR Park Factor: 104.0 at Globe Life Field) are favorable, but his low wOBA versus RHP (0.284) compared to the opposing pitcher's strong K/BB ratio (K%: 21.5%, BB%: 6.5%) suggests a more balanced approach might yield better results than Over. However, Semien's strong 37.4% hard hit rate against 4-seam fastballs indicates his potential for an extra-base hit.",5.0,Under,
dominic canzone,Hits,0.5,Fri 10:10 PM,1,0.8,hitter,Over,True,Medium,"Dominic Canzone has a solid .473 wOBA vs RHP and strong plate discipline with 20.0% BB% against right-handed pitchers, which could contribute to reaching base multiple times. However, the model's confidence is only 80%, so it is essential to consider that Canzone has struggled against left-handed pitchers this season, with a 0.0 wOBA vs LHP. Additionally, the opposing pitcher has a solid 9.78 K/9 rate, which may lead to strikeouts and limit base hits. The wind blowing out could potentially help batters, but given these mixed factors, I would be cautious with my prediction.",0.0,Under,
salvador perez,Hits+Runs+RBIs,1.5,Fri 8:10 PM,1,0.77,hitter,Over,True,Medium,"Perez has a higher wOBA (0.285) and OPS (0.651) against right-handed pitchers, which is better than the league averages. The game is being played at Kauffman Stadium with a park factor of 105.0 for home runs. Perez's recent form against right-handed pitchers also shows an average of 0.22 over the last 15 games. However, the model's confidence in this prediction is relatively low due to a lack of detailed information about the opposing pitcher and the small sample size (201 AB vs RHP).",1.0,Under,
vinnie pasquantino,Hitter Fantasy Score,6.5,Fri 8:10 PM,1,0.733316388967335,hitter,Over,True,Medium,"Pasquantino has a strong recent form vs RHP (0.452 AVG in the last 15 games) and excellent rate & quality metrics (wOBA vs RHP: 0.362, xwOBA: 0.333). However, the model's confidence is relatively low due to insufficient data on the opposing pitcher. Despite the favorable park factor for home runs, it remains uncertain if Pasquantino will have a high fantasy score given the unclear matchup and the model's skepticism.",3.0,Under,
josh lowe,Hits+Runs+RBIs,1.5,Fri 7:10 PM,1,0.73,hitter,Over,True,Medium,"Despite the small sample size (23 AB), Lowe's wOBA against lefties is significantly higher than league average (0.426 vs 0.314) and his recent form has been strong, especially versus left-handed pitchers (AVG: 0.348). However, the model's confidence is relatively low due to limited data on the opposing pitcher.",1.0,Under,
alek thomas,Hits+Runs+RBIs,1.5,Fri 9:40 PM,1,0.73,hitter,Over,True,Medium,"Despite the model's prediction, Alek Thomas has a significantly higher wOBA (0.329) and OPS (0.751) vs RHP compared to league averages, and a strong recent form (0.318 AVG in last 15 games). However, the small sample size against LHP skews the overall stats, and the pitcher's profile is unknown, so approach with caution.",1.0,Under,
